filename,original score,file length,pad length,loss,predict score
0778a070b283d5f4057aeb3b42d58b82ed20e4eb_f205bd9628ff8dd7d99771f13422a665a70bb916,0.0011400801595300436,235,23,1.0,0.9121362566947937
fbd1a4b23eff620c1a36f7c9d48590d2fccda4c2_cc82281bc576f716d9a0271d206beb81ad078b53,3.456328340689652e-05,41713,4171,3.456328340689652e-05,3.456328340689652e-05
c095da034535f15a27c073dce54212a28e1af683_8e86441bc4f6a7fc492779caf280f1d769e0cd4d,0.00012831321510020643,92441,-12441,,
488e5eea345e24440f7d0d2a32fbafda314ee6ca_df473c0493d503828157e32664e28357a4094f7a,2.1847043285561085e-08,75404,4596,2.1847043285561085e-08,2.1847043285561085e-08
7a359bcc1c7ac5f18eff7c3459dadefa9f9e4610_3b7ac6b0a7a720460526c78628c8616dad8c6a1f,0.026088029146194458,1156,115,1.0,0.8367876410484314
509038aad80431b8aa0c9b29bfce07fe7134fc7a_263fbe72e691a0c047f75ce75a585ba0af84ac94,6.268520265714653e-16,59983,5998,6.268520265714653e-16,6.268520265714653e-16
05202b7ebc42f2a159154f99cec58fc1bcfe2c17_8cc75062dbe1ddc363fa5178312845709f669e37,1.8682247571177868e-07,111442,-31442,,
c47ed37c0e1e8be110f889f5989aea6b1bb7fda4_42c3033e34d27c951f7db7ae6aa5f45b8ef472ac,9.199996384268161e-06,56188,5618,9.199996384268161e-06,9.199996384268161e-06
18a62e8ee8522c26e9970373895209ee15a56841_4f0f6e9d21bbbe1842e8e8d6d911561108389662,0.07595182210206985,293,29,1.0,0.9983526468276978
12113db281913797b6d58079b45089d4d057f766_ce1c8adb310886deb3ace648d4152ddeb1ed32fb,2.2755225472792517e-06,131550,-51550,,
19c625db4021d4934916f42b97777098b0b8cf15_0192ba11326fe2298c8cb4de616f4d4140213838,0.9939839243888855,45,4,,
2a7a2505e43decf3583ec11bbad6ead816ef1861_2906bffe07800fe9ff93d544bff8a46e56aa64d9,0.9997618794441223,11127,1112,,
3f3fc4ed6a51a4385de9a38b164bcc14a4334eac_20002faf28adfd94ca98cf6ced46f14334b53684,1.0,503,50,,
ead2a1884a52c93c654853d2891a1208ac6ee2b8_b75311ed885fb252554ab6dc228326d388043630,0.9973293542861938,24,2,,
6bc4d5ba3fa9c0f1c1431de8d214cc90bcfe4b55_4f53fe0260bec1166add1d1977e461984c448473,0.9997665286064148,84050,-4050,,
3138cef67d651745c2db3744a70d6bf861e2a728_7b5ec86f006dc6d35d48821ca1311561bd86157a,0.9994845390319824,27757,2775,,
80913fa3c7d18d89c47b42e929cf9c98729aa565_2dcb3285f944bc0b6e7cb7612dad360b9458ccdc,0.9999622106552124,6455574,-6375574,,
5746b9ed6b78d8f1cdb0b8bb9016624a46430346_007439fd0f1bfcb25e540a2b5ddbc96d7ea09afd,1.0,252055,-172055,,
3ac6ef121770866e84cb9b3f799e373da53a8e02_9eed86e0fc9ad5cfb9642aeca6e792c56c1ecac0,0.5719013810157776,0,0,,
2b5137a1658c040ebe72bba8506c8405a06e173e_48c0985d5f2bb938d526fc1f18e8c1ad7b7c62d8,0.9999997615814209,1677,167,,
